,player_id,display_name,entry_year,last_name_initial
607,00-0030198,Cameron Lawrence,2013,L
180,00-0019154,Kevin Lewis,1990,L
448,00-0024745,Louis Leonard,2007,L
226,00-0020184,Lance Legree,2001,L
509,00-0026571,Reshard Langford,2010,L
157,00-0018563,Justin Lucas,1999,L
514,00-0026674,Jacob Lacey,2009,L
587,00-0028722,Ricky Lumpkin,2012,L
326,00-0022350,Ryan Lilja,2004,L
320,00-0022297,Mike Labinjo,2004,L
593,00-0029130,Dezman Moses,2012,M
424,00-0024095,Anthony Madison,2006,M
413,00-0023904,Garrett McIntyre,2011,M
444,00-0024692,Daniel Muir,2007,M
410,00-0023893,Jayme Mitchell,2006,M
381,00-0023354,Brandon McGowan,2005,M
417,00-0024002,Brandon McKinney,2006,M
537,00-0027244,Jeromy Miles,2010,M
308,00-0021869,Terrance Martin,2003,M
341,00-0022591,Jim Maxwell,2004,M
160,00-0018587,Don Morgan,1999,M
90,00-0011629,Tim Morabito,1996,M
91,00-0011796,Mustafah Muhammad,1999,M
356,00-0023047,Alfred Malone,2005,M
285,00-0021512,Quintin Mikell,2003,M
276,00-0021326,Josh Mallard,2002,M
479,00-0025902,Elbert Mack,2008,M
545,00-0027421,Bryan McCann,2010,M
89,00-0011585,Larry Moore,1998,M
167,00-0018941,Todd McMillon,2000,M
171,00-0019059,Kelvin Moses,2001,M
244,00-0020664,Brandon Moore,1993,M
243,00-0020657,Reggie Myles,2002,M
498,00-0026172,Phillip Merling,2008,M
502,00-0026407,Jameel McClain,2008,M
516,00-0026720,Rico Murray,2009,M
540,00-0027286,Kyle McCarthy,2010,M
530,00-0027074,Kaluka Maiava,2009,M
169,00-0019032,Keith Miller,2000,M
88,00-0011570,Jason Moore,1999,M
420,00-0024018,Corey Mays,2006,M
468,00-0025720,Marques Murrell,2007,M
573,00-0028349,Jordan Miller,2012,M
77,00-0010421,Lemar Marshall,2002,M
78,00-0010486,Lonnie Marts,1991,M
79,00-0010496,Mike Maslowski,1999,M
80,00-0010535,Kevin Mathis,1997,M
81,00-0010645,Tod McBride,1999,M
453,00-0024805,Corey Mace,2008,M
82,00-0010717,Andy McCollum,1995,M
87,00-0011464,Mike Mohring,1997,M
316,00-0022201,Terrence Melton,2004,M
83,00-0010970,Ronald McKinnon,1996,M
548,00-0027511,Aaron Morgan,2010,M
455,00-0025484,Ray McDonald,1967,M
86,00-0011413,Keith Mitchell,1997,M
85,00-0011390,Anthony Mitchell,2000,M
84,00-0011234,Arnold Miller,1999,M
196,00-0019520,Norris McCleary,2000,M
311,00-0021961,Michael Nattiel,2003,N
159,00-0018579,Robert Newkirk,1999,N
503,00-0026417,Jesse Nading,2008,N
460,00-0025640,Chinedum Ndukwe,2007,N
477,00-0025857,Ogemdi Nwagbuo,2009,N
544,00-0027402,Andre Neblett,2010,N
247,00-0020747,Ryan Nece,2002,N
93,00-0012135,Brandon Noble,1999,N
94,00-0012229,Chukie Nwokorie,1999,N
92,00-0012005,Jim Nelson,1998,N
492,00-0026046,Steve Octavien,2008,O
504,00-0026486,Kenny Onatolu,2009,O
521,00-0026788,Cyril Obiozor,2009,O
529,00-0027062,Chris Owens,2009,O
616,00-0030700,Zach Orr,2014,O
472,00-0025788,Paul Oliver,2008,O
625,00-0031888,Leon Orr,2015,O
208,00-0019820,Kendrick Office,2001,O
296,00-0021616,Shantee Orr,2003,O
300,00-0021677,Keith O'Neil,2003,O
375,00-0023288,Evan Oglesby,2005,O
185,00-0019276,Shaun O'Hara,2000,O
182,00-0019246,Adewale Ogunleye,2001,O
215,00-0020005,Ifeanyi Ohalete,2001,O
136,00-0016956,Kimo von Oelhoffen,1994,O
527,00-0026875,Ricky Price,2009,P
216,00-0020006,Antonio Pierce,2001,P
512,00-0026635,Ashlee Palmer,2009,P
225,00-0020152,Alvin Porter,2001,P
99,00-0013235,Shawn Price,1993,P
98,00-0013141,Jeff Posey,1998,P
242,00-0020653,Kalvin Pearson,2002,P
97,00-0012908,Perry Phenix,1998,P
96,00-0012578,Riddick Parker,1997,P
489,00-0026016,Ropati Pitoitua,2009,P
95,00-0012547,Anthony Parker,1989,P
270,00-0021188,Anton Palepoi,2002,P
205,00-0019776,Cleveland Pinkney,2003,P
202,00-0019710,Hank Poteat,2000,P
212,00-0019986,Juqua Parker,2001,P
397,00-0023727,Dimitri Patterson,2005,P
619,00-0031074,Jeoffrey Pagan,2014,P
389,00-0023523,Sione Po'uha,2005,P
605,00-0030118,Ty Powell,2013,P
379,00-0023344,J'Vonne Parker,2005,P
589,00-0028870,Quinton Pointer,2012,P
428,00-0024166,Ronnie Prude,2006,P
590,00-0029030,Micah Pellerin,2013,P
100,00-0013322,Shelton Quarles,1997,Q
107,00-0014051,Adrian Ross,1998,R
262,00-0021001,Kemp Rasmussen,2002,R
609,00-0030222,Kevin Reddick,2013,R
595,00-0029297,Trenton Robinson,2012,R
240,00-0020599,Dario Romero,2003,R
594,00-0029201,Sean Richardson,2012,R
101,00-0013405,John Randle,1990,R
102,00-0013643,Ron Rice,1996,R
103,00-0013845,Bryan Robinson,1997,R
227,00-0020199,Brian Russell,2002,R
104,00-0013850,Damien Robinson,1998,R
582,00-0028601,Brandian Ross,2012,R
575,00-0028420,Kevin Rutland,2011,R
105,00-0013860,Eugene Robinson,1985,R
106,00-0013986,Tyrone Rogers,1999,R
109,00-0014179,Reggie Rusk,1996,R
108,00-0014153,Orlando Ruff,1999,R
201,00-0019706,Fred Robbins,2000,R
274,00-0021210,Kris Richard,2002,R
401,00-0023757,Chris Reis,2007,R
449,00-0024750,Nick Roach,2007,R
345,00-0022758,Rob Reynolds,2004,R
361,00-0023090,Derreck Robinson,2005,R
386,00-0023473,Stanford Routt,2005,R
368,00-0023199,Darrell Reid,2005,R
286,00-0021514,Sam Rayburn,2003,R
297,00-0021630,Terrell Roberts,2003,R
440,00-0024648,DelJuan Robinson,2008,R
549,00-0027571,Malcolm Sheppard,2010,S
111,00-0014375,Jeff Saturday,1999,S
166,00-0018932,Bobby Setzer,2001,S
110,00-0014260,Joe Salave'a,1998,S
112,00-0014376,Craig Sauer,1996,S
533,00-0027204,Emmanuel Stephens,2011,S
204,00-0019755,Davis Sanchez,2001,S
206,00-0019789,Quincy Stewart,2001,S
328,00-0022353,Rich Scanlon,2004,S
519,00-0026758,C.J. Spillman,2009,S
195,00-0019518,Jason Starkey,2000,S
552,00-0027628,Brian Sanford,2011,S
560,00-0027817,R.J. Stanford,2011,S
221,00-0020107,Nick Sorensen,2001,S
114,00-0014674,Kato Serwanga,1999,S
115,00-0014675,Wasswa Serwanga,1999,S
621,00-0031174,Bryan Stork,2014,S
116,00-0014939,Antoine Simpson,1999,S
117,00-0015002,Tony Siragusa,1990,S
118,00-0015080,Aaron Smith,1984,S
119,00-0015151,Derek M. Smith,1997,S
557,00-0027671,Amari Spievey,2010,S
120,00-0015270,Otis Smith,1991,S
122,00-0015487,Donnie Spragan,2002,S
123,00-0015648,Reggie Stephens,1999,S
124,00-0015986,Sam Sword,1999,S
385,00-0023455,Marcus Spears,1996,S
382,00-0023376,Antwain Spann,2006,S
434,00-0024396,Montavious Stanley,2006,S
435,00-0024420,Le Kevin Smith,2006,S
121,00-0015468,Paul Spicer,1999,S
327,00-0022352,Benny Sapp,2004,S
113,00-0014618,Corey Sears,1998,S
495,00-0026084,Brian Schaefering,2009,S
264,00-0021011,Jashon Sykes,2003,S
250,00-0020809,Jeremy Slechta,2002,S
304,00-0021737,Russell Stuvaints,2003,S
314,00-0022185,Jason Short,2004,S
456,00-0025523,Clint Session,2007,S
317,00-0022257,Justin Sandy,2004,S
228,00-0020202,DeQuincy Scott,2002,S
238,00-0020538,Daleroy Stewart,2003,S
257,00-0020873,Bart Scott,2002,S
248,00-0020749,Corey Smith,2002,S
486,00-0025996,Jamie Silva,2008,S
463,00-0025682,Lyle Sendlein,2007,S
322,00-0022322,Josh Savage,2004,S
224,00-0020139,Josh Stamer,2003,S
485,00-0025995,Jordan Senn,2008,S
301,00-0021679,Shaun Smith,2004,S
275,00-0021285,Josh Shaw,2002,S
223,00-0020111,Lynn Scott,2001,S
500,00-0026215,Reggie Smith,1980,S
558,00-0027689,Daniel Te'o-Nesheim,2010,T
125,00-0016076,Josh Taves,2000,T
562,00-0027915,Isaiah Trufant,2010,T
555,00-0027655,Torell Troup,2010,T
131,00-0016635,R-Kal Truluck,2002,T
127,00-0016192,Tim Terry,1997,T
128,00-0016271,Hollis Thomas,1996,T
129,00-0016311,Ratcliff Thomas,1998,T
130,00-0016505,Robbie Tobeck,1994,T
132,00-0016667,Jessie Tuggle,1987,T
596,00-0029309,DeAngelo Tyson,2012,T
465,00-0025697,Jason Trusnik,2007,T
133,00-0016674,Van Tuinei,1997,T
380,00-0023351,Santonio Thomas,2007,T
126,00-0016106,Henry Taylor,1998,T
551,00-0027624,Martin Tevaseu,2011,T
569,00-0028251,Jeff Tarpinian,2011,T
269,00-0021162,Robert Thomas,1998,T
366,00-0023186,Leigh Torrence,2005,T
441,00-0024663,Quinton Teal,2007,T
198,00-0019593,Adalius Thomas,2000,T
197,00-0019522,Edward Thomas,2000,T
338,00-0022554,Josh Thomas,2004,T
436,00-0024467,Dave Tollefson,2007,T
450,00-0024755,Jyles Tucker,2007,T
461,00-0025667,Pago Togafau,2007,T
497,00-0026093,Anthony Toribio,2009,T
161,00-0018599,Joe Tuipala,2001,T
610,00-0030246,Justin Tuggle,2013,T
522,00-0026791,Ronald Talley,2011,T
293,00-0021607,Mason Unck,2003,U
135,00-0016924,Troy Vincent,1992,V
480,00-0025925,Fernando Velasco,2009,V
134,00-0016824,Eric Vance,1998,V
570,00-0028286,Josh Victorian,2012,V
377,00-0023316,Raymond Ventrone,2007,V
431,00-0024252,Jimmy Williams,1982,W
137,00-0017013,Brian Walker,1996,W
272,00-0021198,Roe Williams,2002,W
138,00-0017052,Marquis Walker,1996,W
396,00-0023722,B.J. Ward,2005,W
469,00-0025739,Byron Westbrook,2009,W
394,00-0023652,Rod Wilson,2016,W
266,00-0021041,Lenny Walls,2002,W
613,00-0030259,Melvin White,2013,W
258,00-0020961,Marcus Wilkins,2002,W
612,00-0030258,Casey Walker,2014,W
606,00-0030141,C.J. Wilson,2007,W
298,00-0021645,Tracy White,2003,W
271,00-0021193,Fred Weary,1998,W
139,00-0017061,Rod Walker,2001,W
323,00-0022341,George Wilson,1929,W
140,00-0017077,Al Wallace,1997,W
155,00-0018194,Shawn Wooden,1996,W
550,00-0027597,Kion Wilson,2010,W
156,00-0018249,Mark Word,1999,W
241,00-0020600,James Whitley,2002,W
181,00-0019228,Jimmy Wyrick,2000,W
437,00-0024517,Chris Wilson,2007,W
373,00-0023255,Mike Wright,2005,W
191,00-0019362,Kenyatta Wright,2000,W
305,00-0021762,Ronyell Whitaker,2003,W
307,00-0021808,Cameron Worrell,2003,W
318,00-0022260,Garnell Wilds,2004,W
419,00-0024017,Pierre Woods,2006,W
213,00-0019991,Joe Walker,2001,W
517,00-0026727,Reggie Walker,2009,W
217,00-0020025,LeVar Woods,2001,W
154,00-0018137,Cory Withrow,2000,W
153,00-0018054,Reinard Wilson,1997,W
152,00-0017961,Willie Williams,1965,W
147,00-0017799,George Williams,1998,W
141,00-0017255,Keith Washington,1996,W
142,00-0017428,Mike Wells,1977,W
143,00-0017585,Willie Whitehead,1999,W
144,00-0017619,Bernard Whittington,1994,W
145,00-0017638,Casey Wiegmann,1997,W
146,00-0017737,Brian Williams,1982,W
574,00-0028357,Anthony Walters,2011,W
561,00-0027879,Kyle Wilson,2010,W
277,00-0021332,Stylez G. White,2007,W
148,00-0017825,Jay Williams,1995,W
513,00-0026662,Jamaal Westerman,2009,W
568,00-0028241,Ian Williams,1982,W
567,00-0028140,Jacquian Williams,2011,W
149,00-0017846,K.D. Williams,1999,W
150,00-0017899,Pat Williams,1997,W
151,00-0017947,Tyrone M. Williams,1997,W
563,00-0028010,Martez Wilson,2011,W
572,00-0028334,Darrin Walls,2011,W
459,00-0025626,C.J. Ah You,2009,Y
584,00-0028650,Joe Young,1960,Y
